ACCESSIONNUMBER	IS_PRIMARYISSUER_FLAG	ISSUER_SEQ_KEY	CIK	ENTITYNAME	STREET1	STREET2	CITY	STATEORCOUNTRY	STATEORCOUNTRYDESCRIPTION	ZIPCODE	ISSUERPHONENUMBER	JURISDICTIONOFINC	ISSUER_PREVIOUSNAME_1	ISSUER_PREVIOUSNAME_2	ISSUER_PREVIOUSNAME_3	EDGAR_PREVIOUSNAME_1	EDGAR_PREVIOUSNAME_2	EDGAR_PREVIOUSNAME_3	ENTITYTYPE	ENTITYTYPEOTHERDESC	YEAROFINC_TIMESPAN_CHOICE	YEAROFINC_VALUE_ENTERED
0002074476-25-000001	YES	101	0002074476	DICKERSON PIKE LLC	240 CENTRAL PARK SOUTH, SUITE 13D		NEW YORK	NY	NEW YORK	10019	(917) 797-5680	NEW YORK							Limited Liability Company		withinFiveYears	2025
0002075199-25-000001	YES	101	0002075199	Ballast Rock Real Estate Private Credit Fund LLC	460 KING STREET	SUITE 200	CHARLESTON	SC	SOUTH CAROLINA	29403	800-204-2513	DELAWARE							Limited Liability Company		withinFiveYears	2025
0001999371-25-008565	YES	101	0002066337	CNL Strategic Residential Credit, Inc.	450 SOUTH ORANGE AVE	SUITE 1400	ORLANDO	FL	FLORIDA	32801	4076501000	MARYLAND							Corporation		withinFiveYears	2025
0002075352-25-000001	YES	101	0002075352	Delphi SPV Series LLC Delphi Series Colossal	548 MARKET ST.	#96317	SAN FRANCISCO	CA	CALIFORNIA	94104	(737) 309-7988	DELAWARE							Limited Liability Company		withinFiveYears	2021
0001988439-25-000002	YES	101	0001988439	COMPOSABL, INC.	1212 BROADWAY PLZ STE 2100		WALNUT CREEK	CA	CALIFORNIA	94596	925-339-2465	DELAWARE							Corporation		withinFiveYears	2023
0002068759-25-000001	YES	101	0002068759	Brightstar Horizon Fund I, L.P.	51 W 52ND ST., FLOOR 18		NEW YORK	NY	NEW YORK	10019	(212) 430-2500	DELAWARE							Limited Partnership		withinFiveYears	2024
0002062763-25-000004	YES	101	0001923478	Alpha Hedge Fund, LLC/FL	2224 NE 17th Terrace		Wilton Manors	FL	FLORIDA	33305	954-218-0950	FLORIDA							Limited Liability Company		withinFiveYears	2022
0002075165-25-000001	YES	101	0002075165	EQT Exeter Europe Logistics Value Fund V (No.2) SCSp	51A, BOULEVARD ROYAL		LUXEMBOURG	N4	LUXEMBOURG	L-2449	352 26 73 26	LUXEMBOURG							Limited Partnership		withinFiveYears	2024
0002068768-25-000001	YES	101	0002068768	Brightstar Horizon Fund I-A, L.P.	51 W 52nd St., Floor 18		New York	NY	NEW YORK	10019	(212) 430-2500	DELAWARE							Limited Partnership		withinFiveYears	2024
0002062763-25-000003	YES	101	0001923478	Alpha Hedge Fund, LLC/FL	3101 N. FEDERAL HWY	STE 303	FT. LAUDERDALE	FL	FLORIDA	33306-1015	954-218-0950	FLORIDA							Limited Liability Company		withinFiveYears	2022
0001797297-25-000001	YES	101	0001797297	My Medical Hub Corp	1102 S. BAYSHORE BLVD.		SAFETY HARBOR	FL	FLORIDA	34695	8139259621	DELAWARE							Corporation		overFiveYears	
0001428529-25-000002	YES	101	0001428529	Relentless Health Inc.	8748 TECHNOLOGY WAY	SUITE 205	RENO	NV	NEVADA	89521	669-285-8552	DELAWARE				Sonasoft CORP			Corporation		withinFiveYears	2022
0002027015-25-000002	YES	101	0002027015	New Holland Special Opportunities Aggregator LP	777 Third Avenue	Floor 36	NEW YORK	NY	NEW YORK	10017	212-600-9200	DELAWARE							Limited Partnership		withinFiveYears	2024
0002075073-25-000001	YES	101	0002075073	Sanderson Bellecci, Inc.	1300 NORTH TRANSTECH WAY		BILLINGS	MT	MONTANA	59102	406-656-5255	DELAWARE							Corporation		withinFiveYears	2023
0002075188-25-000001	YES	101	0002075188	WPS Capital Partners Master Fund, LLC - CashPoint Ventures Series B	1 W End Avenue	Apt. 8A	New York	NY	NEW YORK	10023	917-902-2116	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002074445-25-000001	YES	101	0002074445	MAP THE SKY LLC	C/O SHOWTOWN THEATRICALS	630 NINTH AVENUE, SUITE 401	NEW YORK	NY	NEW YORK	10036	212-398-2133	NEW YORK							Limited Liability Company		withinFiveYears	2023
0000950142-25-001727	YES	101	0001908888	Apollo IG Core Replacement (STE), L.P.	9 WEST 57TH STREET	41ST FLOOR	NEW YORK	NY	NEW YORK	10019	212-515-3200	DELAWARE				Apollo Total Return Fund - Investment Grade, L.P.			Limited Partnership		withinFiveYears	2021
0001980221-25-000002	YES	101	0001980221	2023 Walker Renibus LLC	3205 MEDPARK DRIVE		DENTON	TX	TEXAS	76208	(940) 395-6696	DELAWARE							Limited Liability Company		withinFiveYears	2023
0001983715-25-000001	YES	101	0001983715	CAPROCK PARTNERS VALUE-ADD INDUSTRIAL FUND IV, L.P.	1300 DOVE STREET, SUITE 200		NEWPORT BEACH	CA	CALIFORNIA	92660	(949) 342-8000	DELAWARE							Limited Partnership		withinFiveYears	2023
0002069699-25-000022	YES	101	0001613970	Krensavage Offshore Fund, Ltd.	610 Fifth Avenue	Suite 301	NEW YORK	NY	NEW YORK	10020	(212) 888-1582	CAYMAN ISLANDS							Other	Cayman Islands Exempted Compnay	overFiveYears	
0001935542-25-000002	YES	101	0001935542	New Holland Tactical Alpha Offshore Fund Ltd	777 Third Avenue	Floor 36	NEW YORK	NY	NEW YORK	10017	212-600-9200	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	withinFiveYears	2022
0001704211-25-000003	YES	101	0001908782	Pro Cyclist Institutional Fund, LP	2595 Canyon Blvd Ste 330	SUITE 330	BOULDER	CO	COLORADO	80302	303-955-4381	DELAWARE							Limited Partnership		withinFiveYears	2022
