ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0000950142-26-000979	101	Apollo Direct Lending Fund - Perpetual (Unlevered), L.P.	/s/ William B. Kuesel	William B. Kuesel	Vice President of the GP of the GP of the Issuer	2026-03-31
0002125083-26-000001	101	8VC STSD-A, LLC	/s/ Ian M. Shannon	Ian M. Shannon	Authorized Signatory	2026-03-31
0000950142-26-000976	101	Apollo Direct Lending Fund - Perpetual (Unlevered TE), L.P.	/s/ William B. Kuesel	William B. Kuesel	Vice President of the GP of the GP of the Issuer	2026-03-31
0002114245-26-000002	101	L Squared Capital Partners V-A LP	/s/ Elizabeth Hunt	Elizabeth Hunt	CFO of the Investment Manager	2026-03-31
0000950142-26-000975	101	Apollo Direct Lending Fund - Perpetual (Unlevered Overseas), L.P.	/s/ William B. Kuesel	William B. Kuesel	Vice President of the GP of the GP of the Issuer	2026-03-31
0001932972-26-000003	101	Stonepeak Core Fund (C) LP	/s/ Adrienne Saunders	Adrienne Saunders	Sr Managing Director, General Counsel and CCO of the GP	2026-03-31
0000950142-26-000973	101	Apollo Direct Lending Fund - Perpetual (Unlevered Lux), SCSp	/s/ Laurent Berthou	Laurent Berthou	Class A Manager of the Managing GP of the Issuer	2026-03-31
0001972203-26-000003	101	Catalur Special Opportunities Fund III, LP	/Michael Salatto/	Michael Salatto	COO, CFO and CCO of the Investment Manager	2026-03-31
0000950142-26-000971	101	Apollo Direct Lending Fund - Perpetual (Levered), L.P.	/s/ William B. Kuesel	William B. Kuesel	Vice President of the GP of the GP of the Issuer	2026-03-31
0002114584-26-000001	101	DMMS Purchaser, Inc.	/s/ Daryl Byrd	Daryl Byrd	Chief Executive Officer	2026-03-31
0002092619-26-000001	101	PNC LIHTC Fund 99, LLC	Simon Levenson	Simon Levenson	By POA from Annika Holte, Senior Vice President	2026-03-31
0002114242-26-000003	101	L Squared Capital Partners V LP	/s/ Elizabeth Hunt	Elizabeth Hunt	CFO of the Investment Manager	2026-03-31
0000950142-26-000969	101	Apollo Direct Lending Fund - Perpetual (Levered Overseas), L.P.	/s/ Robert O'Dolan	Robert O'Dolan	Manager of the General Partner of the Issuer	2026-03-31
0001493152-26-014308	101	Phalanx Fund V, LP	/s/ Samuel J. Giordano	Samuel J. Giordano	Chief Financial Officer	2026-03-31
0001860424-26-000001	101	Onex Direct Lending BDC Fund	/s/ Zachary Drozd	Zachary Drozd	General Counsel	2026-03-31
0001865052-26-000004	101	Gearflow Inc.	/s/ Luke Powers	Luke Powers	Chief Executive Officer	2026-03-31
0001012975-26-000285	101	BSP Structured Credit V (US Feeder) L.P.	/s/ Andrew Howat	Andrew Howat	Director of the General Partner of the Issuer	2026-03-31
0001213900-26-037584	101	BHAV Acquisition Corp	/s/ Giri Devanur	Giri Devanur	Chief Executive Officer	2026-03-31
0001936997-26-000003	101	Ovala, Inc.	/s/ Stephen Bollinger	Stephen Bollinger	President	2026-03-31
0002121337-26-000001	101	Petra 9801 York, LLC	Noah Swank	Noah Swank	Manager	2026-03-31
0002126250-26-000001	101	Bettor Capital IC, LP	/s/ David VanEgmond	David VanEgmond	Manager of the General Partner of the General Partner	2026-03-31
0001869388-26-000002	101	MSD EIV Private, LLC - Series B	/S/ ROBERT K. SIMONDS	ROBERT K. SIMONDS	AUTHORIZED SIGNATORY	2026-03-31
0002124991-26-000001	101	Proximal Ventures Fund I LP	/s/ Sahir Raoof	Sahir Raoof	Manager of Issuer's General Partner	2026-03-31
0001689801-26-000001	101	MSD EIV Private, LLC	/S/ ROBERT K. SIMONDS	ROBERT K. SIMONDS	AUTHORIZED SIGNATORY	2026-03-31
0001932974-26-000003	101	Stonepeak Core Fund (B) LP	/s/ Adrienne Saunders	Adrienne Saunders	Sr Managing Director, General Counsel and CCO of the GP	2026-03-31
0002126228-26-000001	101	YSA Henderson Fund, LLC	William Russell Colvin	William Russell Colvin	Manager's President and CEO	2026-03-31
0001932975-26-000003	101	Stonepeak Core Fund (A) LP	/s/ Adrienne Saunders	Adrienne Saunders	Sr Managing Director, General Counsel and CCO of the GP	2026-03-31
0000919574-26-001989	101	ThetaBlue Fund LP	/s/ Sean Raft	Sean Raft	Authorized Person	2026-03-31
0002107396-26-000004	101	Gilgamesh Pharma Inc.	Jonathan Sporn /s/	Jonathan Sporn	CEO	2026-03-31
0002011071-26-000001	101	Deerpath Capital VII (Cayman), LP	Anish K. Bahl	Anish K. Bahl	Chief Financial Officer of the Issuer's General Partner	2026-03-31
0002124535-26-000001	101	OpZira, Inc.	Ryan Montecucco	Ryan Montecucco	CLO	2026-03-31
0002113212-26-000001	101	GEM SBO Fund III (Lux), SCSp	LAURIN ARIAIL	LAURIN ARIAIL	SENIOR COUNSEL OF THE MANAGEMENT COMPANY	2026-03-31
0002054552-26-000001	101	Westerly Winds Construction Finance Fund, L.P.	/s/Karim Abdel-Ghaffar Plaza	Karim Abdel-Ghaffar Plaza	Director of the General Partner of the Issuer	2026-03-31
0002093068-26-000001	101	Equitybee 22-32046, a Series of Equitybee cFund Master LLC	Devin Rivera	Devin Rivera	Manager	2026-03-31
0002093416-26-000002	101	Series 7-2, a series of StartEngine Private Funds LLC	Howard Marks	Howard Marks	Director	2026-03-31
0002126020-26-000001	101	TPG Rise Climate Transition Infrastructure (C), L.P.	Matthew White	Matthew White	Vice President of the Issuer's GP	2026-03-30
0002106994-26-000003	101	Monarch Quantum, Inc.	Timothy Day	Timothy Day	Chief Executive Officer	2026-03-26
0002124939-26-000001	101	PREP Richmond TX LLC	/s/ Brian Richard Gaister	Brian Richard Gaister	CEO of the Manager of the Issuer	2026-03-31
0002068659-26-000001	101	Equitybee 22-29359, a Series of Equitybee cFund Master LLC	Devin Rivera	Devin Rivera	Manager	2026-03-31
0002061562-26-000001	101	AIF FUND II LP	/S/ CHRISTOPHER MALE	CHRISTOPHER MALE	MANAGING MEMBER OF THE GENERAL PARTNER OF THE ISSUER	2026-03-31
0002125361-26-000001	101	HPIMF KRAMER HOLDINGS AUS021 LP	Tim Shaughnessy	Tim Shaughnessy	Manager of Issuer's General Partner	2026-03-31
0002106994-26-000002	101	Monarch Quantum, Inc.	Timothy Day	Timothy Day	Chief Executive Officer	2026-03-26
0002126127-26-000001	101	SOLIDROAD INC.	/s/ Mark Hughes	Mark Hughes	Chief Executive Officer	2026-03-31
0000950142-26-000966	101	Fairmount Healthcare Co-Invest VI L.P.	/s/ Peter Harwin	Peter Harwin	Managing Member of the Member of the General Partner	2026-03-31
0002125061-26-000001	101	EQT Real Estate Europe Living II (No.2) SCSp	Victoria McDevitt	Victoria McDevitt	Duly appointed attorney of Applicant via Power of Attorney	2026-03-31
0002113986-26-000001	101	Eclipse Early Growth Fund III, L.P.	/s/ Lior Susan	Lior Susan	Managing Member of the General Partner	2026-03-31
0002125055-26-000001	101	EQT Real Estate Europe Living II (No.1) SCSp	Victoria McDevitt	Victoria McDevitt	Duly appointed attorney of Applicant via Power of Attorney	2026-03-31
0002126095-26-000001	101	Sixth Street TAO Partners (G), L.P.	/s/ Joshua Peck	Joshua Peck	Vice President of the Issuer's General Partner	2026-03-31
0001213900-26-037453	101	IceCure Medical Ltd.	/s/ Eyal Shamir	Eyal Shamir	Chief Executive Officer	2026-03-31
0001062993-26-001752	101	Laiva Gold Inc.	/s/ Sean Mager	Sean Mager	CFO	2026-03-31
0001493152-26-014160	101	LBS Income Fund, L.P.	/s/ Samuel Wathen	Samuel Wathen	Chief Executive Officer of the Investment Manager	2026-03-31
0002113988-26-000001	101	Eclipse Fund VI, L.P.	/s/ Lior Susan	Lior Susan	Managing Member of the General Partner	2026-03-31
0001493152-26-014141	101	LBS Income Fund (RIC), L.P.	/s/ Samuel Wathen	Samuel Wathen	Chief Executive Officer of the Investment Manager	2026-03-31
0002063338-26-000001	101	Buxton Helmsley, Inc.	Alexander E Parker	Alexander E Parker	Chief Executive Officer	2026-03-31
0002123879-26-000003	101	Dillistone Group PLC	Ian John Mackin	Ian John Mackin	Corporate Secretary	2026-03-30
0002111625-26-000004	101	JS VENTURE FUND LLC SERIES A37	/s/ Damian Maggio	Damian Maggio	Manager, Global Venture Management LLC, its Manager	2026-03-31
0000950142-26-000959	101	Apollo Asset-Backed Finance Fund (Lux), SCSp	/s/ William B. Kuesel	William B. Kuesel	Executive Officer of the GP of the Sole Shareholder of the G	2026-03-31
0000929638-26-001348	101	Circulate Capital Asia II, LP	/s/ Robert Kaplan	Robert Kaplan	Director of the General Partner of the Issuer	2026-03-31
0002114001-26-000001	101	Blue Owl Digital Infrastructure Miner Co-Invest LP	Neena Reddy	Neena Reddy	General Counsel and Secretary of the GP of the Issuer	2026-03-31
0002125750-26-000001	101	Clinch Resources Ltd.	/s/Brett Young	Brett Young	CFO	2026-03-31
0001231919-26-000299	101	Rivet Industries, Inc.	/s/David Louis Marra, Jr.	David Louis Marra, Jr.	Chief Executive Officer	2026-03-31
0000912282-26-000532	101	Al Biernat's Fort Worth LLC	/s/ Bradley Alan Fuller	Bradley Alan Fuller	President of Managing Member of Issuer	2026-03-31
0001712373-26-000002	101	TN HoldCo, Inc.	John R. Stair	John R. Stair	Chief Operations Counsel and Assistant Secretary	2026-03-31
0002109711-26-000001	101	CLEARMATRIX SPV A SERIES OF AM SPV FUND MANAGEMENT LLC	Jason Dang	Jason Dang	Director	2026-03-31
0001863525-26-000003	101	IPO.CLUB LLC	/s/ Emily Wu	Emily Wu	Attorney of record	2026-03-31
0002125875-26-000001	101	23 Broadway Marketing, Inc.	/s/ Jordan Tuch	Jordan Tuch	Chief Executive Officer	2026-03-31
0002039128-26-000006	101	Peachtree Credit Fund IV, LP	/s/ Kevin M. Cadin	Kevin M. Cadin	General Counsel	2026-03-26
0000950142-26-000958	101	Apollo Aligned Alternatives ST Fund (USD), L.P.	/s/ William B. Kuesel	William B. Kuesel	Exec. Officer of the GP of the General Partner of the Issuer	2026-03-31
0001752026-26-000006	101	Linnaeus Therapeutics, Inc.	Anthony Gruzdis	Anthony Gruzdis	Attorney-in-fact	2026-03-31
0002125919-26-000001	101	Mariner Capital Opportunity Fund, LP	Erik Hansen	Erik Hansen	Authorized Signatory	2026-03-31
0002124971-26-000001	101	Blackstone Waypoint Fund LP	/s/ Panayiota Bougimas	Panayiota Bougiamas	Chief Compliance Officer	2026-03-31
0002084210-26-000001	101	Legend Capital Ventures II, LLC	Adam Merino	Adam Merino	Managing Member of the Manager	2026-03-31
0002117913-26-000001	101	DIA COURTHOUSE METRO LLC	/s/ MARK RENBAUM	MARK RENBAUM	MANAGER OF THE MANAGER	2026-03-31
0002123443-26-000001	101	FRED-Cary Illinois, LLC	Steven J. Bersell	Steven J. Bersell	President & COO of Manager of Manager of Manager of Issuer	2026-03-31
0002125276-26-000001	101	Crest Performance Partners Private Debt, LLC	Jason Dang	Jason Dang	Director	2026-03-31
0002126184-26-000001	101	Tresses SPV B, LP	/s/ Kirk Carson	Kirk Carson	Authorized Signatory of the Issuer	2026-03-31
0002117333-26-000003	101	Savannah LandCo LLC	Benjee Elder	Benjee Elder	Principal of Manager of Manager of Issuer	2026-03-30
0001998437-26-000001	101	PIM Income Fund LLC	Patrick Grimes	Patrick Grimes	Manager of PIM Lending Manager LLC, Manager of Issuer	2026-03-31
0002108914-26-000001	101	EquityZen Growth Technology Fund LLC - Series 2254	Philip Haslett	Philip Haslett	Manager Representative of Issuer's Manager	2026-03-31
0001013594-26-000412	101	Boardman Bay Ventures, LP - Series Q7	/s/ William B. Graves	William B. Graves	Managing Member of the General Partner	2026-03-31
0001013594-26-000411	101	Boardman Bay Ventures, LP - Series I7	/s/ William B. Graves	William B. Graves	Managing Member of the General Partner of the Issuer	2026-03-31
0001013594-26-000410	101	Boardman Bay Ventures, LP - Series I	/s/ William B. Graves	William B. Graves	Managing Member of the General Partner	2026-03-31
0001013594-26-000409	101	Boardman Bay Ventures, LP - Series Q	/s/ William B. Graves	William B. Graves	Managing Member of the General Partner	2026-03-31
0002114649-26-000002	101	HZ Fairways DST	Ashlee Cabeal	Ashlee Cabeal	Chief Financial Officer	2026-03-31
0000945621-26-000508	101	EAG Holdings LP	/s/ Shari Savitt	Shari Savitt	Corporate Secretary	2026-03-31
0002124788-26-000001	101	Skylane Holdings I LLC	Chelsea T. Ip	Chelsea T. Ip	Manager	2026-03-04
0002030268-26-000002	101	PIM Litigation Portfolio LLC	Patrick Grimes	Patrick Grimes	Manager of PIM Litigation Manager LLC, Manager of Issuer	2026-03-31
0001012975-26-000284	101	Avenue Sports Opportunities Fund AIV (BB), L.P.	/s/ Sonia Gardner	Sonia Gardner	Member of the Managing Member of the GP of the Issuer	2026-03-31
0002125526-26-000001	101	CCI Founders Fund Growth IV, L.P.	Debashis Chowdhury	Debashis Chowdhury	President	2026-03-31
0002089657-26-000001	101	RP 201 LAUREL HOLDINGS, LLC	/s/ Anthony Bates	Anthony Bates	President	2026-03-31
0002126049-26-000001	101	RISE Robotics I, a series of Capitalize Investments LLC	Nicholas Tommarello	Nicholas Tommarello	Authorized Person	2026-03-31
0002103950-26-000001	101	Moonfare Series Fund I LLC - Series F	s/ Per Magnus Grufman	Per Magnus Grufman	Managing Director of the Investment Advisor	2026-03-31
0001012975-26-000283	101	Avenue Sports Opportunities Fund (Offshore) AIV (BB), L.P.	/s/ Sonia Gardner	Sonia Gardner	Member of the Managing Member of the GP of the Issuer	2026-03-31
0002126050-26-000001	101	Starcloud I, a series of Capitalize Investments LLC	Nicholas Tommarello	Nicholas Tommarello	Authorized Person	2026-03-31
0001744017-26-000003	101	Grand Oak Capital Partners, Ltd Partnership	Kevin Kwan	Kevin Kwan	Vice President	2026-03-31
0001347989-26-000009	101	Pacific West Mortgage Fund, LLC	Mark Granger	Mark Granger	Managing Member of Issuer's Manager	2026-03-31
0002124161-26-000001	101	Banner VC Co-invest I, LP	/s/ Brooks Andrew Morgan	Brooks Andrew Morgan	Managing Director of the Issuer's General Partner	2026-03-31
0002125955-26-000001	101	Terraferma I, a series of Capitalize Investments LLC	Nicholas Tommarello	Nicholas Tommarello	Authorized Person	2026-03-31
0000906791-26-000055	101	Forest Road Credit Metric Fund LP	/s/ Idan Shani	Idan Shani	Chief Financial Officer of the General Partner	2026-03-31
0000921895-26-000847	101	683 Capital Partners Offshore, Ltd.	/s/Joseph Patt	Joseph Patt	Director	2026-03-31
0000945621-26-000507	101	Parametric Core Extension Fund LLC: Target Stock 2.1	/s/ James Kirchner	James Kirchner	Vice President of Manager	2026-03-31
0002125287-26-000001	101	Fenway Investco LLC	/s/Thomas H. Grape	Thomas H. Grape	President	2026-03-31
0002126085-26-000001	101	Guac I, a series of Capitalize Investments LLC	Nicholas Tommarello	Nicholas Tommarello	Authorized Person	2026-03-31
0000945621-26-000506	101	Parametric Core Extension Fund LLC: Target Stock 1.1	/s/ James Kirchner	James Kirchner	Vice President of Manager	2026-03-31
0002070541-26-000001	101	Asia2G Capital Fund II, L.P.	/s/ Kyoung Rok Kong	Kyoung Rok Kong	Manager of the General Partner of the Issuer	2026-03-31
0002098715-26-000001	101	1517 Fund - SPV S, L.P.	Michael Gibson	Michael Gibson	Managing Director of the GP of the Issuer	2026-03-31
0001856686-26-000003	101	Blue Owl Credit Income Corp. iCapital Offshore Access Fund SPC	Michael Stanton	Michael Stanton	Managing Director of Investment Manager of the Issuer	2026-03-31
0002085124-26-000001	101	Passco Vero Beach DST	/s/ Larry K. Sullivan	Larry K. Sullivan	President of a Manager of Sole Member of Issuer's Manager	2026-03-31
0002105401-26-000002	101	EquityZen Growth Technology Fund LLC - Series 2250	Philip Haslett	Philip Haslett	Manager Representative of Issuer's Manager	2026-03-31
0002110308-26-000002	101	AEI Healthcare Portfolio VII DST	MARNI NYGARD	MARNI NYGARD	PRESIDENT OF THE ISSUER'S MANAGER	2026-03-31
0001437749-26-010596	101	ByHeart, Inc.	/s/ Georg Krause-Vilmar	Georg Krause-Vilmar	Chief Legal Officer	2026-03-31
0002123124-26-000001	101	Golding LEA SCSp SICAV-FIAR - LEA Mittelstandspartner III / III-A	LUKAS ECKHARDT	LUKAS ECKHARDT	MANAGING DIRECTOR OF ISSUER'S INVESTMENT MANAGER	2026-03-04
0002125870-26-000001	101	AGI Investors - iCapital Access Fund, L.P.	Max Schwartz	Max Schwartz	Authorized Signatory of the General Partner of the Issuer	2026-03-31
0002123145-26-000001	101	Golding LEA SCSp SICAV-FIAR - LEA Mittelstandspartner II / II-A	LUKAS ECKHARDT	LUKAS ECKHARDT	MANAGING DIRECTOR OF ISSUER'S INVESTMENT MANAGER	2026-03-04
0002122241-26-000001	101	TF Capital Investments I LLC	Abhishek Malik	Abhishek Malik	Manager of the Manager of the Fund	2026-03-31
0001437749-26-010592	101	4C Medical Technologies, Inc.	/s/ Harley Handegard	Harley Handegard	Chief Financial Officer	2026-03-31
0001814554-26-000056	101	FC Penn Mark JV, LLC	/s/ Benjamin Jacobson	Benjamin Jacobson	Authorized Signatory	2026-03-31
0002118506-26-000001	101	OKEANOS VENTURE PARTNERS II LLC-SERIES 175	/s/ Aaron Berkey	Aaron Berkey	Manager of Okeanos Venture Management LLC, as Manager	2026-03-31
0002105408-26-000002	101	EquityZen Growth Technology Fund LLC - Series 2244	Philip Haslett	Philip Haslett	Manager Representative of Issuer's Manager	2026-03-31
0002083716-26-000001	101	DAMREV Labs, LLC	Duane Herholdt	Duane Herholdt	Chief Executive Officer	2026-03-31
0002120502-26-000001	101	SKCP VI Stenmark Co-Invest, L.P.	Lee Taylor Thompson	Lee Taylor Thompson	Authorized Signatory of the UGP of the Issuer	2026-03-31
0001925577-26-000002	101	Steals Commerce, Inc.	Ryan R. Treft	Ryan R. Treft	Director	2026-03-31
0002121999-26-000001	101	Series 2026, A Series of Strong Ventures Nova IV, L.P.	Kihong Bae	Kihong Bae	Manager of Strong Ventures IV, LLC	2026-03-31
0002065427-26-000001	101	AAA Advantage Home Care Inc.	Daniel Morris	Daniel Morris	President and Chief Executive Officer	2026-03-31
0002123314-26-000001	101	FDC DATABENTO LLC	/s/Andrew M. Spellman	Andrew M. Spellman	Manager of the Manager of the Issuer	2026-03-31
0002108298-26-000001	101	Analytical Biotech Fund, LP	Justin Xiang	Justin Xiang	Managing Member of General Partner and Investment Manager	2026-03-31
0001013594-26-000408	101	Titan PrismRe LP	/s/ Jacqueline Klaber	Jacqueline Klaber	Managing Director of the Investment Manager of the Issuer	2026-03-24
0002111146-26-000001	101	ALC 133 L.P.	Stella Zhang	Stella Zhang	Manager	2026-03-31
0002125365-26-000001	101	Lansing Street Real Estate Fund LLC - Series AY	Matthew Topley	Matthew Topley	President	2026-03-31
0001931029-26-000001	101	Hayfin Tactical Solutions Fund (US Parallel) LP	Dana Behnke	Dana Behnke	Authorized Signatory of the General Partner of the Issuer	2026-03-31
0002125279-26-000001	101	Linse Capital Stellar II LP	/s/ Michael Linse	Michael Linse	Managing Director of the General Partner of the Manager	2026-03-31
0000919574-26-001982	101	Caravela Energy Fund LP	/s/ Miguel Ferreira	Miguel Ferreira	Managing Member of the Managing Member of the GP	2026-03-31
0001999371-26-007308	101	NOXX Therapeutics, Inc.	/s/ Brian P. Mooney	Brian P. Mooney	CFO	2026-03-31
0000919574-26-001980	101	Caravela Energy Fund Offshore Ltd	/s/ Sophia Dilbert	Sophia Dilbert	Director	2026-03-31
0002066035-26-000002	101	Corazon Capital IV LP	/s/ Steven M. Farsht	Steven M. Farsht	Managing Member of the General Partner	2026-03-31
0002123512-26-000001	101	SGP - BB Financial, LLC	Derek H. Hoselton	Derek H. Hoselton	Coproate Secretary	2026-03-31
0002109889-26-000001	101	Series 11-2, a series of StartEngine Private Funds LLC	Howard Marks	Howard Marks	Director	2026-03-31
0002066914-26-000001	101	AUGUREY VENTURES III, SERIES ANDURIL C	FRANK CARDIA	FRANK CARDIA	MANAGING PARTNER	2026-03-23
0002066915-26-000001	101	AUGUREY VENTURES II, SERIES ANDURIL C	FRANK CARDIA	FRANK CARDIA	MANAGING PARTNER	2026-03-23
0002066916-26-000001	101	AUGUREY VENTURES I - SERIES ANDURIL C	FRANK CARDIA	FRANK CARDIA	MANAGING PARTNER	2026-03-23
0001992691-26-000001	101	Antaris, Inc.	/s/ Thomas Barton	Thomas Barton	Chief Executive Officer	2026-03-24
0002121434-26-000001	101	Quantum Technologies Investors 5 LP - Series 1	/s/ Pedro Marcal	Pedro Marcal	Managing Member of Issuer's GP	2026-03-28
0001213900-26-037147	101	RealWise AI Technologies Inc.	/s/ Xiang Zhang	Xiang Zhang	Director	2026-03-31
0002062955-26-000001	101	Golub Capital Direct Lending Fund, L.P., Series SU-A	/s/ Craig Benton	Craig Benton	President of the Applicant's General Partner	2026-03-26
0002098331-26-000001	101	aMBR Genomics, Inc.	/s/ Ahna Skop	Ahna Skop	President	2026-03-31
0002109890-26-000001	101	Series 11-1, a series of StartEngine Private Funds LLC	Howard Marks	Howard Marks	Director	2026-03-31
0001958889-26-000001	101	BRENTWOOD ASSOCIATES PRIVATE EQUITY VII, L.P.	WILLIAM M. BARNUM, JR.	WILLIAM M. BARNUM, JR.	MANAGER OF THE GP OF THE GP OF THE ISSUER	2026-03-31
0001958210-26-000001	101	BRENTWOOD ASSOCIATES PRIVATE EQUITY VII-A, L.P.	WILLIAM M. BARNUM, JR.	WILLIAM M. BARNUM, JR.	MANAGER OF THE GP OF THE GP OF THE ISSUER	2026-03-31
0002062957-26-000001	101	Golub Capital Direct Lending Fund, L.P., Series SL-A	/s/ Craig Benton	Craig Benton	President of the Applicant's General Partner	2026-03-26
0002115450-26-000001	101	Jute Inc.	/s/ Mark Smith	Mark Smith	President	2026-03-31
0002125843-26-000002	101	Teal Spring Senior Living, LLC	Lane Warzecha	Lane Warzecha	Secretary	2026-03-31
0002083199-26-000001	101	Truman 2025 SC11-1, LLC	/s/ William A. Meeks	William A. Meeks	Chief Financial Officer	2026-03-31
0001810301-26-000003	101	Quarba Partners, LP	Scott Kister	Scott Kister	Manager of General Partner	2026-03-31
0002124811-26-000001	101	Clear Draft, Inc.	Anthony Scherba	Anthony Scherba	Director	2026-03-31
0002124531-26-000001	101	DV (BVI) VII, Ltd	/s/ Sarah Brennan	Sarah Brennan	General Counsel	2026-03-31
0001012975-26-000282	101	Varde Asset Lending Fund (Offshore), L.P.	/s/ Richard Strohmenger	Richard Strohmenger	Managing Director of Varde Partners, Inc.	2026-03-31
0002124818-26-000001	101	Rush Insurance Group, Inc.	/s/ Sam Hanmer	Sam Hanmer	President	2026-03-31
0002125485-26-000001	101	Fanhaven Mar 2026 a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC, a Manager of the Applicant	2026-03-31
0002126065-26-000001	101	BUILDSTAR RESIDENTIAL GROWTH FUND LLC	Mahendiran Chandrasekar	Mahendiran Chandrasekar	Founder and CEO	2026-03-31
0002114967-26-000001	101	Insurance Equity Investors, LLC	Kevin Finn	James McLaughlin	POA for Kevin Finn	2026-03-31
0002112828-26-000001	101	SA Onodrim Series Seed a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC, a Manager of the Applicant	2026-03-31
0001360791-26-000001	101	Catalist L.L.C.	Michael Frias	Michael Frias	CEO	2026-03-20
0001012975-26-000281	101	Varde Asset Lending Fund, L.P.	/s/ Richard Strohmenger	Richard Strohmenger	Managing Director of Varde Partners, Inc.	2026-03-31
0002122904-26-000003	101	Dream SPV VA 2 LLC	/s/ Steven Ashburn	Steven Ashburn	General Counsel	2026-03-30
0002122456-26-000001	101	Synchron a Series of Koru Ventures LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC, a Manager of the Applicant	2026-03-31
0002064835-26-000044	101	Fitzroy Minerals Inc.	/s/ John Campbell Smyth	John Campbell Smyth	Chairman and Director	2026-03-30
0002125897-26-000001	101	531 N Linder Holdco LLC	Mitchell Boucher	Mitchell Boucher	Authorized Signatory	2026-02-25
0002060076-26-000001	101	FJ Labs IV, LP	/s/ Fabrice Grinda	Fabrice Grinda	Managing Director of Director of GP of GP of Issuer	2026-03-31
0002123711-26-000001	101	Starfish Space 35 a Series of Denver Ventures I LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC, a Manager of the Applicant	2026-03-31
0002123666-26-000002	101	Certified Pickleball, Inc.	William F. Geritz	William F. Geritz	President	2025-11-11
0002105471-26-000002	101	Nationwide Private Placement Variable Account PPLI - A	/s/TERRA MCCANN	Terra McCann	AVP, Corporate Compliance	2026-03-31
0001596241-26-000003	101	TRG Dynamic Risk Manager - Level 2 Fund, L.P.	/s/ Thomas R. Gasper	Thomas R. Gasper	Manager of the General Partner	2026-03-31
0001214659-26-004059	101	CRP IAH Co-Investment I SCSp	/s/ Skender Kurtovic	Skender Kurtovic	Authorized Representative	2026-03-30
0002124752-26-000001	101	NORTHEAST-PTP SPV FUND VI LP	/s/ Jeffrey Filone	Jeffrey Filone	Manager of GP	2026-03-31
0001099910-26-000141	101	KIOSK, INC.	Paul Lafforgue	Paul Lafforgue	President	2026-03-31
0002123666-26-000001	101	Certified Pickleball, Inc.	William F. Geritz	William F. Geritz	President	2025-11-11
