ACCESSIONNUMBER	INDUSTRYGROUPTYPE	INVESTMENTFUNDTYPE	IS40ACT	REVENUERANGE	AGGREGATENETASSETVALUERANGE	FEDERALEXEMPTIONS_ITEMS_LIST	ISAMENDMENT	PREVIOUSACCESSIONNUMBER	SALE_DATE	YETTOOCCUR	MORETHANONEYEAR	ISEQUITYTYPE	ISDEBTTYPE	ISOPTIONTOACQUIRETYPE	ISSECURITYTOBEACQUIREDTYPE	ISPOOLEDINVESTMENTFUNDTYPE	ISTENANTINCOMMONTYPE	ISMINERALPROPERTYTYPE	ISOTHERTYPE	DESCRIPTIONOFOTHERTYPE	ISBUSINESSCOMBINATIONTRANS	BUSCOMBCLARIFICATIONOFRESP	MINIMUMINVESTMENTACCEPTED	OVER100RECIPIENTFLAG	TOTALOFFERINGAMOUNT	TOTALAMOUNTSOLD	TOTALREMAINING	SALESAMTCLARIFICATIONOFRESP	HASNONACCREDITEDINVESTORS	NUMBERNONACCREDITEDINVESTORS	TOTALNUMBERALREADYINVESTED	SALESCOMM_DOLLARAMOUNT	SALESCOMM_ISESTIMATE	FINDERSFEE_DOLLARAMOUNT	FINDERSFEE_ISESTIMATE	FINDERFEECLARIFICATIONOFRESP	GROSSPROCEEDSUSED_DOLLARAMOUNT	GROSSPROCEEDSUSED_ISESTIMATE	GROSSPROCEEDSUSED_CLAROFRESP	AUTHORIZEDREPRESENTATIVE
0001140361-25-036812	Insurance			$25,000,001 - $100,000,000		06b	false			true	false	true									false		0		Indefinite	0	Indefinite	No shares have been offered as of date hereof. Total amount of Offering depends on a current valuation date.	false		0	0		0			0			false
0002031907-25-000002	Other Technology			Decline to Disclose		06b	false		2025-09-22		false	true									false		0		3000000	2600000	400000		false		1	0		0			0			false
0002086384-25-000001	Commercial			Decline to Disclose		06b	false			true	false	true									false		50000		1000000	0	1000000		false		0	0		0			0	true		false
0002088693-25-000001	Other Health Care			No Revenues		06c, 3C, 3C.5	false		2025-09-26		false	true									false		100000		5000000	2850000	2150000		false		20	0		0			310000	true		false
0000919574-25-005901	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0000919574-24-005673	2025-01-01		true	true				true					false		0		Indefinite	21402000	Indefinite		false		53	0	true	0	true	Recipients in item 12 are paid an amount equal to a percentage of fees paid to the IM (or its affiliates) attributable to certain assets under mgmt. or the NAV of the issuer.	0	true	The Investment Manager is paid a fixed fee.	true
0000905148-25-003452	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0		0			0			false
0002079785-25-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2025-09-26		false	true				true					false		5014		1465347	1465347	0		false		61	73267		0			0			false
0000945621-25-000899	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.1, 3C.7	false		2025-09-19		false					true					false		0		Indefinite	478874	Indefinite	The total amount sold is represented in AUD.	false		4	0		0			0			false
0001621804-25-000002	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.1	true	0001621804-24-000001	2014-10-04		true					true					false		100000		Indefinite	15025695	Indefinite		false		43	0		0			0			false
0002088932-25-000001	Commercial			Decline to Disclose		06c	false			true	false	true									false		50000		1000000	0	1000000		false		0	0		0			0	true		false
