ACCESSIONNUMBER	IS_PRIMARYISSUER_FLAG	ISSUER_SEQ_KEY	CIK	ENTITYNAME	STREET1	STREET2	CITY	STATEORCOUNTRY	STATEORCOUNTRYDESCRIPTION	ZIPCODE	ISSUERPHONENUMBER	JURISDICTIONOFINC	ISSUER_PREVIOUSNAME_1	ISSUER_PREVIOUSNAME_2	ISSUER_PREVIOUSNAME_3	EDGAR_PREVIOUSNAME_1	EDGAR_PREVIOUSNAME_2	EDGAR_PREVIOUSNAME_3	ENTITYTYPE	ENTITYTYPEOTHERDESC	YEAROFINC_TIMESPAN_CHOICE	YEAROFINC_VALUE_ENTERED
0001470831-25-000459	YES	101	0002103484	Webster Equity Partners VI GP, LLC	950 WINTER STREET		WALTHAM	MA	MASSACHUSETTS	02451	781-419-1515	DELAWARE							Limited Liability Company		withinFiveYears	2023
0001909185-25-000002	YES	101	0001909185	Accolade Partners Digital Evolution Feeder, L.P.	C/O ACCOLADE CAPITAL MANAGEMENT, LLC	2100 PENNSYLVANIA AVENUE NW, SUITE 300N	WASHINGTON	DC	DISTRICT OF COLUMBIA	20037	202-775-5595	CAYMAN ISLANDS							Other	CAYMAN ISLANDS EXEMPTED LIMITED PARTNERSHIP	withinFiveYears	2021
0001906763-25-000002	YES	101	0001906763	Accolade Partners Digital Evolution, L.P.	C/O ACCOLADE CAPITAL MANAGEMENT, LLC	2100 PENNSYLVANIA AVENUE NW, SUITE 300N	WASHINGTON	DC	DISTRICT OF COLUMBIA	20037	202-775-5595	DELAWARE							Limited Partnership		withinFiveYears	2021
0002098228-25-000001	YES	101	0002098228	FutureFlow Partners, LLC	8 THE GREEN SUITE R		DOVER	DE	DELAWARE	19901	4027305391	DELAWARE							Limited Liability Company		withinFiveYears	2024
0001576079-25-000003	YES	101	0001576079	AM Global Core Fund, LLC	50 S. 16th Street	SUITE 3440	Philadelphia	PA	PENNSYLVANIA	19102	(610) 545-6100	DELAWARE							Limited Liability Company		overFiveYears	
0002103413-25-000001	YES	101	0002103413	North State Processing Corp.	4030 WAKE FOREST RD	STE 300	RALEIGH	NC	NORTH CAROLINA	27609	9193496181	DELAWARE							Corporation		withinFiveYears	2025
0002101733-25-000001	YES	101	0002101733	NewCold USA IX, LLC	500 WEST MADISON, STE 1500		CHICAGO	IL	ILLINOIS	60661	312-624-8115	DELAWARE							Limited Liability Company		withinFiveYears	2021
0002103483-25-000001	YES	101	0002103483	Walton Street Real Estate Debt Fund III, L.P.	900 NORTH MICHIGAN AVENUE, SUITE 1900		CHICAGO	IL	ILLINOIS	60611	312-915-2800	DELAWARE							Limited Partnership		withinFiveYears	2025
0002099684-25-000001	YES	101	0002099684	Wealth Without Wall Street, LLC	120 19TH STREET N SUITE 2050		BIRMINGHAM	AL	ALABAMA	35203	4027305391	ALABAMA							Limited Liability Company		withinFiveYears	2024
0000929638-25-004794	YES	101	0001354372	Nippon Value Investors Japanese Equity Trust	NIPPON VALUE INVESTORS, INC.	411 THEODORE FREMD AV., SUITE 206 SOUTH	RYE	NY	NEW YORK	10580	917 833 8330	DELAWARE				Silchester International Investors Japanese Equity Trust			Business Trust		overFiveYears	
0002061595-25-000004	YES	101	0002061595	Constellation Wealth Capital Fund II LP	609 W. RANDOLPH STREET	SUITE 600	CHICAGO	IL	ILLINOIS	60661	312 626 6067	DELAWARE							Limited Partnership		withinFiveYears	2025
0002061595-25-000004	NO	102	0002061550	Constellation Wealth Capital Fund II-A LP	609 W. RANDOLPH STREET	SUITE 600	CHICAGO	IL	ILLINOIS	60661	312 626 6067	DELAWARE							Limited Partnership		withinFiveYears	2025
0002061595-25-000004	NO	103	0002087165	Constellation Wealth Capital Fund II (CWC) LP	609 W. RANDOLPH STREET	SUITE 600	CHICAGO	IL	ILLINOIS	60661	312 626 6067	DELAWARE							Limited Partnership		withinFiveYears	2025
0001587468-25-000010	YES	101	0001587468	Databricks, Inc.	160 SPEAR STREET	15TH FLOOR	SAN FRANCISCO	CA	CALIFORNIA	94105	866-330-0121	DELAWARE				DataBricks, Inc.			Corporation		overFiveYears	
0001213900-25-127129	YES	101	0001937993	Cadrenal Therapeutics, Inc.	822 A1A NORTH	SUITE 306	PONTE VEDRA	FL	FLORIDA	32082	(904) 900-0701	DELAWARE							Corporation		withinFiveYears	2022
0002101607-25-000001	YES	101	0002101607	Realterm Logistics Fund V, L.P.	201 WEST STREET		ANNAPOLIS	MD	MARYLAND	21401	(410) 280-1100	DELAWARE							Limited Partnership		withinFiveYears	2025
0002101621-25-000001	YES	101	0002101621	Realterm Logistics Fund V-A, L.P.	201 WEST STREET		ANNAPOLIS	MD	MARYLAND	21401	(410) 280-1100	DELAWARE							Limited Partnership		withinFiveYears	2025
0001587468-25-000009	YES	101	0001587468	Databricks, Inc.	160 SPEAR STREET	15TH FLOOR	SAN FRANCISCO	CA	CALIFORNIA	94105	866-330-0121	DELAWARE				DataBricks, Inc.			Corporation		overFiveYears	
0002102934-25-000002	YES	101	0002102934	GUGLI Corp	901 CALLE AMANECER STE 160		SAN CLEMENTE	CA	CALIFORNIA	92673	8772144935	WYOMING							Corporation		withinFiveYears	2021
0001682360-25-000002	YES	101	0001682360	CEDAR STREET EMERGING MARKETS VALUE FUND, L.P.	455 N Cityfront Plaza Drive	SUITE 1710	CHICAGO	IL	ILLINOIS	60611	312-669-0563	DELAWARE							Limited Partnership		overFiveYears	
0000904454-25-000644	YES	101	0002102588	Bain Capital Global Direct Lending Fund (Offshore DE-C), L.P.	200 CLARENDON STREET		BOSTON	MA	MASSACHUSETTS	02116	6175162000	DELAWARE							Limited Partnership		withinFiveYears	2025
0000904454-25-000644	NO	102	0002102794	Bain Capital Global Direct Lending Fund (Offshore C), L.P.	32 MOLESWORTH STREET		DUBLIN	L2	IRELAND	00000	6175162000	IRELAND							Other	IRISH LIMITED PARTNERSHIP	withinFiveYears	2024
0001693606-25-000002	YES	101	0001693606	CEDAR STREET INTERNATIONAL SMALL CAP FUND L.P.	455 N CITYFRONT PLAZA DRIVE	SUITE 1710	CHICAGO	IL	ILLINOIS	60611	312-669-0563	DELAWARE							Limited Partnership		overFiveYears	
0002085503-25-000001	YES	101	0002085503	EquityZen Growth Technology Fund LLC - Series 2169	30 Broad Street	Suite 1200	New York	NY	NEW YORK	10004	(877) 490-6121	DELAWARE							Limited Liability Company		withinFiveYears	2023
